Fecha,Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Suscriptores perdidos
2025-01-01,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-02,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-03,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-04,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-05,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-06,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-07,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-08,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-09,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-10,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-11,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-12,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
2025-01-13,AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0
